"order_month","main_category","orders_c","gmv_c","aov_c"
"2017-11-01 00:00:00.000","fashion_roupa_feminina","2","59.98","29.99"
"2017-11-01 00:00:00.000","tablets_impressao_imagem","6","350.4","58.4"
"2017-11-01 00:00:00.000","construcao_ferramentas_ferramentas","4","269.5","67.375"
"2017-11-01 00:00:00.000","artigos_de_festas","3","850.7","283.56666666666666"
"2017-11-01 00:00:00.000","fashion_underwear_e_moda_praia","10","1221.6","122.16"
"2017-11-01 00:00:00.000","telefonia_fixa","5","943.98","188.796"
"2017-03-01 00:00:00.000","informatica_acessorios","147","28078.799999999992","191.01224489795914"
"2017-03-01 00:00:00.000","fashion_bolsas_e_acessorios","60","4786.360000000001","79.77266666666668"
"2017-03-01 00:00:00.000","bebidas","4","487.87","121.9675"
"2017-03-01 00:00:00.000","fashion_esporte","1","39.9","39.9"
"2017-03-01 00:00:00.000","moveis_decoracao","252","22172.469999999987","87.985992063492"
"2017-03-01 00:00:00.000","telefonia","153","7877.120000000001","51.48444444444445"
"2017-03-01 00:00:00.000","perfumaria","102","19529.14","191.4621568627451"
"2017-03-01 00:00:00.000","papelaria","56","5902.62","105.40392857142857"
"2017-03-01 00:00:00.000","utilidades_domesticas","169","12882.960000000003","76.23053254437872"
"2017-03-01 00:00:00.000","instrumentos_musicais","8","1613.53","201.69125"
"2017-03-01 00:00:00.000","malas_acessorios","35","5924.01","169.2574285714286"
"2017-03-01 00:00:00.000","tablets_impressao_imagem","5","495.0","99.0"
"2017-03-01 00:00:00.000","agro_industria_e_comercio","2","81.99000000000001","40.995000000000005"
"2018-08-01 00:00:00.000","relogios_presentes","385","69629.25999999998","180.85522077922073"
"2018-08-01 00:00:00.000","utilidades_domesticas","542","58550.049999999945","108.02592250922498"
"2018-08-01 00:00:00.000","papelaria","158","15603.909999999998","98.7589240506329"
"2018-08-01 00:00:00.000","moveis_decoracao","328","40762.629999999976","124.27631097560968"
"2018-08-01 00:00:00.000","brinquedos","149","17183.42","115.32496644295301"
"2018-08-01 00:00:00.000","eletrodomesticos_2","14","7532.759999999999","538.0542857142857"
"2018-08-01 00:00:00.000","audio","24","2185.2999999999997","91.05416666666666"
"2018-08-01 00:00:00.000","fashion_calcados","3","471.29999999999995","157.1"
"2018-08-01 00:00:00.000","moveis_cozinha_area_de_servico_jantar_e_jardim","17","1944.97","114.41"
"2018-08-01 00:00:00.000","industria_comercio_e_negocios","9","2364.69","262.74333333333334"
"2018-08-01 00:00:00.000","musica","6","497.81","82.96833333333333"
"2018-08-01 00:00:00.000","livros_importados","1","749.0","749.0"
"2018-08-01 00:00:00.000","telefonia_fixa","10","2724.17","272.41700000000003"
"2018-08-01 00:00:00.000","sinalizacao_e_seguranca","16","1825.59","114.099375"
"2018-08-01 00:00:00.000","construcao_ferramentas_iluminacao","49","7501.95","153.10102040816327"
"2018-08-01 00:00:00.000","cine_foto","8","595.2900000000001","74.41125000000001"
"2018-08-01 00:00:00.000","artigos_de_natal","10","529.37","52.937"
"2018-04-01 00:00:00.000","eletrodomesticos","104","15019.630000000001","144.41951923076925"
"2018-04-01 00:00:00.000","perfumaria","158","17607.649999999998","111.44082278481011"
"2018-04-01 00:00:00.000","relogios_presentes","460","88942.88000000003","193.35408695652183"
"2018-04-01 00:00:00.000","bebes","211","47123.049999999974","223.3319905213269"
"2018-04-01 00:00:00.000","automotivo","327","48027.219999999965","146.87223241590203"
"2018-04-01 00:00:00.000","instrumentos_musicais","57","19375.309999999998","339.9177192982456"
"2018-04-01 00:00:00.000","construcao_ferramentas_construcao","74","13016.98","175.90513513513514"
"2018-04-01 00:00:00.000","consoles_games","37","5681.04","153.54162162162163"
"2018-04-01 00:00:00.000","pcs","13","13774.919999999998","1059.6092307692306"
"2018-04-01 00:00:00.000","alimentos_bebidas","16","605.0699999999999","37.816874999999996"
"2018-04-01 00:00:00.000","dvds_blu_ray","4","92.5","23.125"
"2018-04-01 00:00:00.000","livros_tecnicos","23","1172.1","50.960869565217386"
"2018-04-01 00:00:00.000","la_cuisine","1","280.0","280.0"
"2018-04-01 00:00:00.000","artigos_de_festas","1","43.8","43.8"
"2017-04-01 00:00:00.000","malas_acessorios","46","7090.300000000001","154.13695652173917"
"2017-04-01 00:00:00.000","papelaria","35","4551.44","130.04114285714286"
"2017-04-01 00:00:00.000","perfumaria","97","19436.51","200.3763917525773"
"2017-04-01 00:00:00.000","pet_shop","46","6182.890000000001","134.41065217391306"
"2017-04-01 00:00:00.000","consoles_games","15","3772.88","251.52533333333335"
"2017-04-01 00:00:00.000","moveis_sala","11","2073.34","188.48545454545456"
"2017-04-01 00:00:00.000","fashion_roupa_masculina","5","366.89","73.378"
"2017-04-01 00:00:00.000","sinalizacao_e_seguranca","3","128.06","42.68666666666667"
"2017-04-01 00:00:00.000","tablets_impressao_imagem","9","1112.88","123.65333333333335"
"2017-04-01 00:00:00.000","alimentos","8","491.3","61.4125"
"2017-04-01 00:00:00.000","moveis_quarto","3","628.98","209.66"
"2017-04-01 00:00:00.000","casa_construcao","5","1602.69","320.538"
"2017-04-01 00:00:00.000","telefonia_fixa","6","505.83000000000004","84.305"
"2017-09-01 00:00:00.000","telefonia","160","18278.37","114.2398125"
"2017-09-01 00:00:00.000","fashion_bolsas_e_acessorios","101","11778.240000000002","116.61623762376239"
"2017-09-01 00:00:00.000","pet_shop","62","8534.92","137.66"
"2017-09-01 00:00:00.000","livros_tecnicos","8","1001.35","125.16875"
"2017-09-01 00:00:00.000","sinalizacao_e_seguranca","5","438.4","87.67999999999999"
"2018-02-01 00:00:00.000","relogios_presentes","304","60725.30999999998","199.75430921052626"
